epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1479.69,0.69161,1.35041,0.77715,1.16655,0,0.93049,0.90737,0.95626,0.79106,0.93037,0.9017,0.946,0.81902,0.61362,1.07685,0.48668,1.10023,0,0.00998708,0.00332903,0.00998708,0.00332903,0.00998708,0.00332903,0.00998708,0.00332903
2,3362.83,0.73322,1.29101,0.65218,1.16507,0,0.87794,0.87878,0.9203,0.74471,0.87397,0.85863,0.88873,0.69522,0.66719,1.58891,0.66441,1.16591,0,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037,0.0199211,0.00664037
3,4856.03,0.80827,1.42523,0.72578,1.21227,0,0.87805,0.87942,0.92792,0.73452,0.88346,0.87176,0.91732,0.74638,0.72815,1.28857,0.62276,1.20291,0,0.0297892,0.00992972,0.0297892,0.00992972,0.0297892,0.00992972,0.0297892,0.00992972
4,6460.58,0.85652,1.5253,0.77161,1.24689,0,0.89594,0.8649,0.93212,0.74929,0.89775,0.85832,0.922,0.7688,0.66942,1.23952,0.62291,1.15768,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,8694.88,0.81596,1.46101,0.73182,1.2233,0,0.92204,0.874,0.93604,0.76113,0.92479,0.85977,0.91653,0.75818,0.65613,1.23535,0.59443,1.12877,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,10237.3,0.79151,1.41124,0.69987,1.20249,0,0.92068,0.8916,0.94532,0.79161,0.9198,0.88595,0.9353,0.79151,0.59759,1.09495,0.52734,1.09349,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,12118.3,0.76309,1.32782,0.66645,1.18167,0,0.92851,0.89627,0.95109,0.80824,0.92445,0.90042,0.94499,0.81953,0.5825,1.01375,0.48222,1.06729,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,14259.3,0.73746,1.33402,0.63405,1.17097,0,0.91732,0.90412,0.94798,0.80841,0.92055,0.90221,0.94262,0.81017,0.57053,1.0194,0.49404,1.07209,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,15781.2,0.72235,1.3129,0.61237,1.15717,0,0.93828,0.90517,0.95748,0.81827,0.93611,0.90378,0.9508,0.83529,0.56167,0.96696,0.42845,1.04836,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,18013,0.70922,1.25961,0.60496,1.15157,0,0.94197,0.91084,0.95442,0.82558,0.94274,0.90993,0.94861,0.83895,0.53587,0.92594,0.45202,1.05086,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,19456.6,0.69275,1.26165,0.5914,1.14411,0,0.94712,0.92153,0.96219,0.84507,0.94099,0.91542,0.94994,0.85114,0.49977,0.96125,0.38601,1.01147,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,22018.1,0.68372,1.24728,0.58318,1.13166,0,0.93755,0.91688,0.95623,0.83536,0.93291,0.90864,0.9434,0.83552,0.50431,0.98419,0.4604,1.02198,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,23831.8,0.6749,1.19518,0.56919,1.12145,0,0.93988,0.92122,0.96075,0.84603,0.94073,0.92075,0.95433,0.8499,0.49036,0.9351,0.38006,0.99483,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,25338.2,0.66688,1.18233,0.55536,1.12027,0,0.94741,0.92427,0.95763,0.84895,0.94765,0.92304,0.95432,0.85672,0.48357,0.92518,0.39096,0.99074,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,27269.4,0.65842,1.15682,0.54548,1.11607,0,0.94451,0.91994,0.95842,0.84663,0.9438,0.91783,0.95556,0.85417,0.49351,0.90876,0.40868,0.99702,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,28986.3,0.65436,1.19117,0.5437,1.11853,0,0.94523,0.93527,0.96524,0.8615,0.94258,0.93252,0.95828,0.86884,0.46625,0.90814,0.34284,0.98362,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
